is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
True,2,35,,,,125,1,8,40,0,1,1,1,1,0
True,2,35,,,,301,4,8,40,1,1,1,1,1,0
True,2,35,,,,765,1,2,40,0,1,0,1,0,0
True,2,35,,,,978,2,2,160,1,1,0,1,0,0
True,2,35,,,,1623,2,1,160,1,0,0,1,0,0
True,2,40,,,,511,2,4,160,1,1,0,0,1,0
True,2,40,,,,898,4,1,40,1,0,0,0,1,1
True,2,40,,,,1352,2,1,10,1,1,1,1,0,1
True,2,40,,,,1579,2,8,10,0,1,0,0,0,1
True,2,40,,,,1920,1,1,10,1,1,0,1,1,1
True,2,45,,,,437,8,1,40,0,1,0,0,1,0
True,2,45,,,,478,1,2,0,1,0,1,0,0,1
True,2,45,,,,1169,2,16,40,0,1,0,0,1,1
True,2,45,,,,1304,1,16,40,0,1,1,1,1,1
True,2,45,,,,1320,4,2,160,0,1,1,0,1,0
True,2,50,,,,52,1,1,0,1,0,0,0,0,1
True,2,50,,,,256,4,4,0,0,0,0,0,0,1
True,2,50,,,,363,4,16,0,1,1,0,1,0,1
True,2,50,,,,369,8,2,0,1,0,0,1,1,0
True,2,50,,,,1589,4,8,10,1,1,0,1,0,0
True,2,55,,,,453,2,4,0,0,0,0,0,0,0
True,2,55,,,,470,2,2,0,1,0,1,0,0,0
True,2,55,,,,806,1,4,0,1,1,0,1,1,1
True,2,55,,,,837,4,4,0,1,0,0,0,0,0
True,2,55,,,,881,2,1,0,1,1,1,1,1,0
True,2,60,,,,498,1,4,40,0,1,1,0,0,1
True,2,60,,,,924,1,4,40,0,0,0,1,0,0
True,2,60,,,,1227,4,1,0,1,0,0,1,0,0
True,2,60,,,,1487,4,1,0,0,1,0,0,0,1
True,2,60,,,,1619,2,2,0,1,0,1,0,0,1
True,2,65,,,,736,4,1,10,1,0,1,0,1,0
True,2,65,,,,944,1,1,40,0,1,1,0,0,1
True,2,65,,,,1133,1,4,10,0,1,1,0,1,0
True,2,65,,,,1358,1,1,40,0,0,1,1,0,0
True,2,65,,,,1627,2,4,10,1,1,1,1,1,1
True,2,70,,,,680,8,4,10,1,0,0,1,1,0
True,2,70,,,,1119,2,1,40,1,1,1,0,1,1
True,2,70,,,,1531,4,4,10,1,1,0,0,1,1
True,2,70,,,,1604,8,4,40,1,1,1,1,1,1
True,2,70,,,,1801,4,2,10,0,1,0,1,0,1
True,2,75,,,,1243,4,8,0,1,0,1,1,0,0
True,2,75,,,,1526,1,8,40,0,0,1,0,1,1
True,2,75,,,,1780,8,8,10,0,0,0,0,0,1
True,2,75,,,,1842,2,16,0,0,0,1,1,1,1
True,2,75,,,,1939,4,8,0,1,1,0,0,1,0
True,2,80,,,,654,8,8,40,1,0,0,1,0,0
True,2,80,,,,685,8,16,10,1,0,1,1,1,1
True,2,80,,,,1114,2,4,40,1,0,0,0,0,0
True,2,80,,,,1239,1,4,40,0,1,0,0,0,0
True,2,80,,,,1598,8,8,40,0,1,1,0,0,0
True,2,85,,,,766,4,8,40,1,0,0,1,1,0
True,2,85,,,,1080,2,1,40,1,1,0,0,1,0
True,2,85,,,,1356,1,4,10,1,0,1,0,1,1
True,2,85,,,,1384,1,4,10,1,1,0,1,0,0
True,2,85,,,,1620,1,4,10,1,0,0,1,0,0
True,2,90,,,,97,2,8,10,1,1,1,0,1,0
True,2,90,,,,593,2,8,10,0,1,1,1,0,1
True,2,90,,,,613,2,8,10,1,1,0,1,1,0
True,2,90,,,,1335,2,8,10,0,1,1,0,0,0
True,2,90,,,,1743,2,8,10,1,1,1,0,0,0
True,2,95,,,,910,4,8,40,0,1,0,1,0,0
True,2,95,,,,1077,2,8,40,1,0,0,0,0,0
True,2,95,,,,1200,8,1,10,1,0,1,1,1,1
True,2,95,,,,1270,2,1,0,0,1,0,0,1,0
True,2,95,,,,1908,4,2,40,1,1,0,0,0,0
True,2,100,,,,122,2,2,10,1,0,0,1,1,0
True,2,100,,,,1434,2,4,0,1,0,1,1,1,0
True,2,100,,,,1663,1,2,0,1,0,1,1,0,1
True,2,100,,,,1732,2,8,0,0,0,0,0,1,0
True,2,100,,,,1938,1,1,0,0,1,1,0,1,0
True,3,10,,,,257,1,2,0,1,1,0,1,0,1
True,3,10,,,,660,8,4,160,1,1,0,1,1,0
True,3,10,,,,790,4,1,10,1,1,1,1,1,1
True,3,10,,,,953,8,4,40,0,0,0,0,0,0
True,3,10,,,,969,2,16,0,1,0,0,0,1,0
True,3,10,,,,1022,2,1,160,1,1,0,0,0,0
True,3,10,,,,1274,4,8,40,0,1,1,1,1,1
True,3,10,,,,1668,8,2,160,0,0,1,0,1,0
True,3,10,,,,1689,8,16,10,1,1,0,1,0,0
True,3,10,,,,1899,8,8,40,1,1,1,0,0,0
True,3,15,,,,114,8,16,0,0,0,1,1,1,1
True,3,15,,,,1281,8,2,160,0,0,1,0,0,1
True,3,15,,,,1748,8,2,160,1,1,0,0,0,1
True,3,15,,,,1877,4,16,160,1,0,1,1,1,0
True,3,15,,,,1922,8,1,160,0,1,0,1,0,0
True,3,20,,,,184,1,8,160,1,1,0,0,0,0
True,3,20,,,,509,2,16,160,1,1,0,1,0,0
