is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
True,3,15,,,,513,1,1,10,0,1,0,1,0,1
True,3,15,,,,563,2,8,0,0,1,0,0,1,0
True,3,15,,,,1007,8,16,160,0,1,1,1,0,1
True,3,15,,,,1032,2,8,10,1,1,1,0,1,0
True,3,20,,,,260,1,4,160,0,0,0,1,0,0
True,3,20,,,,381,1,2,10,0,1,1,0,0,1
True,3,20,,,,734,2,4,10,1,1,1,1,1,0
True,3,20,,,,852,1,1,160,0,0,0,0,1,0
True,3,20,,,,1024,1,2,10,0,0,1,1,1,1
True,3,25,,,,185,1,16,0,0,1,1,1,0,0
True,3,25,,,,509,2,16,160,1,1,0,1,0,0
True,3,25,,,,1532,2,16,160,0,0,0,1,1,1
True,3,25,,,,1536,2,16,40,1,0,1,1,1,0
True,3,25,,,,1877,4,16,160,1,0,1,1,1,0
True,3,30,,,,662,8,16,160,1,1,1,1,0,0
True,3,30,,,,838,2,8,160,0,1,1,0,0,1
True,3,30,,,,1150,8,16,160,0,0,1,0,1,1
True,3,30,,,,1404,8,16,160,1,1,1,1,1,1
True,3,30,,,,1922,8,1,160,0,1,0,1,0,0
True,3,35,,,,118,4,16,0,0,1,1,0,0,1
True,3,35,,,,921,4,16,10,1,1,1,1,0,1
True,3,35,,,,1281,8,2,160,0,0,1,0,0,1
True,3,35,,,,1572,8,16,0,0,1,1,0,1,1
True,3,35,,,,1598,8,8,40,0,1,1,0,0,0
True,3,40,,,,184,1,8,160,1,1,0,0,0,0
True,3,40,,,,957,1,1,160,0,0,0,0,1,1
True,3,40,,,,1720,1,4,160,1,1,0,1,0,0
True,3,40,,,,1748,8,2,160,1,1,0,0,0,1
True,3,40,,,,1752,4,1,160,1,1,1,0,1,1
True,3,45,,,,482,4,2,160,1,0,1,0,1,0
True,3,45,,,,665,1,1,160,0,0,0,0,1,0
True,3,45,,,,834,4,4,160,0,1,1,1,1,0
True,3,45,,,,1348,4,4,160,0,1,1,1,1,0
True,3,45,,,,1676,2,2,160,0,0,0,0,1,1
True,3,50,,,,866,1,8,160,0,0,0,0,1,0
True,3,50,,,,916,8,4,40,0,1,0,0,1,1
True,3,50,,,,1002,1,16,0,0,0,0,0,0,1
True,3,50,,,,1367,2,16,0,1,0,1,1,0,1
True,3,50,,,,1715,1,2,0,1,0,1,0,1,0
True,3,55,,,,624,1,16,10,0,0,0,1,1,0
True,3,55,,,,707,1,8,0,1,1,0,1,1,1
True,3,55,,,,1023,2,1,0,1,1,1,1,1,0
True,3,55,,,,1455,1,2,40,1,0,1,0,0,1
True,3,55,,,,1975,2,1,40,0,1,1,1,1,0
True,3,60,,,,166,2,16,10,0,0,1,1,1,1
True,3,60,,,,400,8,2,0,0,1,0,1,1,1
True,3,60,,,,415,8,1,10,0,0,0,0,1,0
True,3,60,,,,1694,8,2,10,1,1,0,1,1,1
True,3,60,,,,1706,8,2,10,0,0,0,1,1,1
True,3,65,,,,974,4,8,40,1,0,0,1,0,1
True,3,65,,,,1202,2,2,160,1,1,1,1,0,1
True,3,65,,,,1506,2,8,160,0,0,1,1,0,0
True,3,65,,,,1887,2,4,10,0,0,1,1,1,0
True,3,65,,,,1909,4,8,40,0,0,0,1,1,0
True,3,70,,,,1028,8,16,0,1,1,1,0,1,1
True,3,70,,,,1454,2,1,160,1,1,0,0,1,0
True,3,70,,,,1641,8,4,10,0,1,1,0,0,0
True,3,70,,,,1650,1,1,40,1,0,1,0,0,0
True,3,70,,,,1698,8,8,0,1,1,1,1,1,0
True,3,75,,,,339,2,4,10,1,1,0,1,1,1
True,3,75,,,,521,4,1,40,1,1,1,0,0,1
True,3,75,,,,607,2,2,0,1,1,0,1,1,1
True,3,75,,,,868,2,8,160,0,0,1,0,1,0
True,3,75,,,,1016,8,4,10,0,1,1,1,1,1
True,3,80,,,,114,8,16,0,0,0,1,1,1,1
True,3,80,,,,876,2,1,10,1,0,0,1,0,1
True,3,80,,,,1051,2,4,0,1,1,0,0,0,1
True,3,80,,,,1570,8,2,10,0,1,1,1,0,0
True,3,80,,,,1613,2,1,10,1,0,1,0,0,1
True,3,85,,,,276,4,2,160,0,1,0,0,1,0
True,3,85,,,,862,1,1,10,1,0,0,1,0,0
True,3,85,,,,879,2,4,10,1,0,1,0,0,1
True,3,85,,,,1799,4,8,160,0,1,1,1,1,1
True,3,85,,,,1839,4,2,0,0,1,1,0,0,1
True,3,90,,,,258,4,4,0,1,1,1,1,1,1
True,3,90,,,,547,4,4,10,0,0,0,0,0,1
True,3,90,,,,1683,4,1,40,0,1,1,1,1,0
True,3,90,,,,1711,2,8,160,0,0,1,0,1,0
True,3,90,,,,1781,4,2,40,1,1,0,1,0,1
True,3,95,,,,793,4,4,0,1,0,1,1,0,0
True,3,95,,,,1031,2,1,40,1,1,0,0,0,0
True,3,95,,,,1183,4,4,10,0,0,1,1,1,0
True,3,95,,,,1437,4,1,0,1,1,0,1,1,1
True,3,95,,,,1936,4,2,0,1,0,0,0,0,1
True,3,100,,,,385,1,16,0,0,1,1,1,1,1
True,3,100,,,,643,4,8,0,1,0,1,1,0,0
True,3,100,,,,891,8,16,0,1,0,0,0,1,1
True,3,100,,,,1577,4,1,10,1,1,0,0,1,0
True,3,100,,,,1643,4,8,40,1,1,0,0,0,0
True,4,10,,,,175,1,2,160,1,0,0,0,1,0
True,4,10,,,,361,4,4,160,0,0,0,0,1,0
True,4,10,,,,394,2,8,10,1,0,1,1,1,0
True,4,10,,,,440,8,1,0,0,0,1,0,0,1
True,4,10,,,,457,1,8,0,1,1,0,1,1,1
True,4,10,,,,710,8,16,40,0,1,1,1,1,0
True,4,10,,,,819,4,16,10,1,0,0,1,1,0
True,4,10,,,,1147,4,2,10,0,0,0,0,0,0
True,4,10,,,,1624,1,4,40,0,1,0,1,0,1
True,4,10,,,,1922,8,1,160,0,1,0,1,0,0
True,4,15,,,,430,1,4,0,1,0,1,0,1,0
True,4,15,,,,713,1,16,0,0,0,1,1,1,1
True,4,15,,,,977,1,8,0,1,1,1,0,0,0
True,4,15,,,,1364,1,8,10,0,1,0,0,1,0
True,4,15,,,,1542,2,16,0,1,1,0,0,1,1
True,4,20,,,,110,8,16,40,1,0,0,1,1,0
True,4,20,,,,150,8,2,160,1,0,0,0,0,1
True,4,20,,,,1214,8,2,160,0,0,1,1,1,0
True,4,20,,,,1404,8,16,160,1,1,1,1,1,1
True,4,20,,,,1548,4,16,160,0,0,0,1,0,1
True,4,25,,,,1010,8,4,40,0,1,1,1,0,1
True,4,25,,,,1146,8,2,40,1,1,0,1,0,0
True,4,25,,,,1406,1,16,160,0,0,0,1,1,1
True,4,25,,,,1644,4,1,160,1,0,0,1,1,0
True,4,25,,,,1834,8,1,40,1,0,1,1,0,0
True,4,30,,,,152,2,16,160,1,1,1,0,0,1
True,4,30,,,,189,4,16,160,0,1,0,1,1,0
True,4,30,,,,962,8,16,0,0,0,0,1,0,0
True,4,30,,,,1062,8,1,160,1,1,0,1,1,0
True,4,30,,,,1916,8,8,160,1,1,0,0,1,0
True,4,35,,,,363,4,16,0,1,1,0,1,0,1
True,4,35,,,,462,2,16,10,0,0,1,0,1,1
True,4,35,,,,1327,1,8,40,1,1,0,1,0,0
True,4,35,,,,1905,4,16,10,1,0,1,0,1,1
True,4,35,,,,1999,2,8,160,1,1,0,1,0,0
True,4,40,,,,568,1,16,0,0,0,0,1,0,0
True,4,40,,,,831,8,1,40,0,1,0,1,0,0
True,4,40,,,,1155,1,16,10,1,0,1,1,0,1
True,4,40,,,,1223,8,2,40,0,0,0,0,0,0
True,4,40,,,,1722,8,1,40,0,0,0,1,0,0
True,4,45,,,,718,2,16,40,1,0,1,0,1,1
True,4,45,,,,826,4,8,40,0,0,0,1,0,1
True,4,45,,,,1105,1,1,10,1,0,0,1,0,1
True,4,45,,,,1194,1,4,160,0,0,0,1,1,1
True,4,45,,,,1633,1,1,160,0,1,0,0,0,0
True,4,50,,,,192,8,16,10,1,0,1,1,1,1
True,4,50,,,,444,4,2,40,0,0,1,1,0,0
True,4,50,,,,959,2,2,40,0,0,1,1,0,1
True,4,50,,,,1420,8,16,0,0,1,0,0,0,1
True,4,50,,,,1519,4,16,0,0,1,0,1,0,0
True,4,55,,,,96,2,16,40,0,1,1,1,1,1
True,4,55,,,,539,8,1,0,0,1,0,1,1,0
True,4,55,,,,1255,8,2,10,1,0,0,1,0,1
True,4,55,,,,1493,1,16,160,0,0,0,0,0,0
True,4,55,,,,1798,8,2,10,0,0,1,1,1,0
True,4,60,,,,416,2,1,0,1,1,0,1,1,1
True,4,60,,,,426,2,8,10,0,0,0,0,1,0
True,4,60,,,,1032,2,8,10,1,1,1,0,1,0
True,4,60,,,,1159,2,4,10,0,0,0,0,1,1
True,4,60,,,,1710,2,2,40,1,0,1,0,1,0
True,4,65,,,,57,1,4,10,1,1,0,1,0,0
True,4,65,,,,257,1,2,0,1,1,0,1,0,1
