is_active,repetition,iteration,feature,first_option_value,second_option_value,taskID,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
True,1,25,"('ref',)",4.0,,237,4,4,160,0,1,1,0,0,0
True,1,25,"('rc_lookahead',)",0.0,,470,2,2,0,1,0,1,0,0,0
True,1,25,"('no_mixed_refs', 'ref')",1.0,8.0,1104,1,8,0,0,0,0,0,1,1
True,1,25,"('no_mbtree', 'ref')",1.0,4.0,1898,4,4,160,0,0,1,1,0,0
True,1,25,"('no_fast_pskip', 'ref')",1.0,16.0,1960,8,16,10,1,0,1,1,1,1
True,1,30,"('ref',)",8.0,,756,2,8,40,1,0,1,1,0,0
True,1,30,"('no_mixed_refs', 'ref')",1.0,8.0,1425,8,8,10,0,1,1,0,0,1
True,1,30,"('no_mbtree', 'ref')",0.0,16.0,1535,8,16,10,1,1,0,0,1,1
True,1,30,"('no_fast_pskip', 'ref')",1.0,8.0,1698,8,8,0,1,1,1,1,1,0
True,1,30,"('no_cabac', 'ref')",1.0,2.0,1801,4,2,10,0,1,0,1,0,1
True,1,35,"('ref',)",4.0,,359,8,4,160,0,0,1,0,1,0
True,1,35,"('ref', 'threads')",16.0,2.0,718,2,16,40,1,0,1,0,1,1
True,1,35,"('threads',)",1.0,,832,1,4,40,0,1,1,0,1,0
True,1,35,"('no_mixed_refs', 'ref')",1.0,4.0,1503,1,4,0,0,1,1,1,0,1
True,1,35,"('no_fast_pskip', 'ref')",1.0,4.0,1854,4,4,40,1,0,1,1,1,1
True,1,40,"('no_fast_pskip', 'ref')",1.0,8.0,515,1,8,10,1,1,0,1,1,0
True,1,40,"('ref',)",1.0,,966,1,1,10,0,0,1,0,0,0
True,1,40,"('no_mixed_refs', 'ref')",1.0,1.0,1074,2,1,40,0,0,0,0,1,1
True,1,40,"('no_mbtree', 'ref')",0.0,1.0,1296,4,1,160,1,1,1,0,0,0
True,1,40,"('ref', 'threads')",8.0,4.0,1313,4,8,10,1,0,1,1,0,0
True,1,45,"('threads',)",1.0,,458,1,2,40,1,1,0,1,0,0
True,1,45,"('no_mixed_refs', 'ref')",0.0,2.0,623,1,2,40,1,0,1,1,0,0
True,1,45,"('ref',)",2.0,,1399,1,2,40,0,1,0,0,0,0
True,1,45,"('no_fast_pskip', 'ref')",1.0,2.0,1419,4,2,10,0,1,1,1,1,0
True,1,45,"('no_mbtree', 'ref')",1.0,2.0,1648,8,2,10,0,1,0,1,0,1
True,1,50,"('ref', 'threads')",4.0,2.0,145,2,4,0,1,1,0,1,1,1
True,1,50,"('no_mixed_refs', 'ref')",1.0,8.0,210,4,8,0,1,0,0,1,0,1
True,1,50,"('no_mbtree', 'ref')",1.0,1.0,517,8,1,40,1,1,0,1,1,1
True,1,50,"('no_fast_pskip', 'ref')",1.0,8.0,629,2,8,10,1,1,1,1,1,0
True,1,50,"('ref',)",1.0,,1037,4,1,160,0,1,0,1,1,0
True,1,55,"('no_fast_pskip', 'ref')",1.0,2.0,26,2,2,40,0,0,0,0,1,1
True,1,55,"('threads',)",1.0,,582,1,4,0,0,0,1,1,1,1
True,1,55,"('no_mbtree', 'ref')",0.0,16.0,912,4,16,10,1,0,1,0,1,0
True,1,55,"('ref',)",16.0,,1522,2,16,160,1,0,1,0,1,0
True,1,55,"('no_mixed_refs', 'ref')",0.0,16.0,1566,1,16,160,0,0,0,1,0,0
True,1,60,"('ref',)",1.0,,1056,1,1,160,1,0,0,0,0,0
True,1,60,"('no_mixed_refs', 'ref')",1.0,8.0,1103,4,8,160,1,0,1,0,0,1
True,1,60,"('no_fast_pskip', 'ref')",1.0,8.0,1210,8,8,160,0,0,1,1,1,1
True,1,60,"('no_8x8dct', 'ref')",1.0,4.0,1486,4,4,40,1,1,1,0,1,1
True,1,60,"('no_deblock', 'ref')",0.0,4.0,1620,1,4,10,1,0,0,1,0,0
True,1,65,"('no_fast_pskip', 'ref')",1.0,2.0,321,1,2,10,0,1,0,0,1,0
True,1,65,"('no_mbtree', 'ref')",0.0,8.0,1068,1,8,160,1,1,0,0,0,0
True,1,65,"('threads',)",1.0,,1308,1,1,160,1,1,1,1,0,1
True,1,65,"('no_mixed_refs', 'ref')",1.0,1.0,1615,4,1,10,1,1,1,0,0,1
