taskID,method,time,energy,threads,ref,rc_lookahead,no_8x8dct,no_cabac,no_deblock,no_mbtree,no_fast_pskip,no_mixed_refs
147,system,528.3262677191913,691.4360032002642,8,4,0,1,0,1,0,0,1
148,system,1014.5029325483941,1382.756739977993,4,16,10,1,1,0,1,0,1
149,system,3110.8892383575176,3973.9341173940056,1,16,0,0,0,1,0,1,0
150,system,492.8841147422184,650.8472364540244,8,2,160,1,0,0,0,0,1
151,system,1181.0560669898082,1713.3684454812303,2,8,40,0,1,0,0,0,0
152,system,1388.0380840300445,2050.324363689603,2,16,160,1,1,1,0,0,1
153,system,707.0652050971116,966.0920671238566,4,2,160,0,0,0,1,1,0
154,system,1953.8977642057887,2867.727583498745,2,16,10,1,0,0,1,0,0
155,system,1003.0416955946525,1355.5462291628858,8,16,0,0,0,1,1,1,1
156,system,1429.168651580705,2074.6196150585747,2,8,0,1,0,1,0,1,0
157,system,1194.077483177045,1641.6821093572291,4,16,10,0,1,1,1,1,1
158,system,885.792126178671,1282.264045094283,2,4,10,1,0,0,0,1,0
159,system,554.3453078269175,730.6145505685763,8,4,160,0,1,1,1,1,1
160,system,1295.2553062437478,1801.0965112453557,4,16,40,1,0,0,0,0,0
161,system,611.4818859099777,880.1522625456105,2,1,10,1,0,1,0,1,0
162,system,1516.580909252154,1929.7523326020328,1,8,40,0,0,0,1,0,1
163,system,2480.541480064371,3173.1864226360585,1,16,0,1,1,0,1,1,1
164,system,574.899109363479,762.0837888648073,8,2,40,0,0,1,1,0,0
165,system,511.7195258139866,672.0046278792574,8,2,0,0,0,1,0,0,1
166,system,1688.3696508406383,2489.4528147388937,2,16,10,0,0,1,1,1,1
167,system,2145.1114964483677,3133.0420080872655,2,16,0,1,0,0,0,1,0
168,system,732.619107723147,1000.188666983992,4,4,10,0,1,1,1,0,0
169,system,3072.8750638961533,3936.198770616472,1,16,0,0,1,0,0,1,0
170,system,812.6748986244133,1033.6824946645072,1,1,160,1,1,0,0,1,1
171,system,777.884813308649,1122.9870132451526,2,2,160,0,1,0,1,1,1
172,system,704.3447589873409,960.1374281687237,4,4,10,1,1,0,1,0,0
173,system,518.5892291068354,695.0234748628135,4,1,40,0,0,1,1,0,0
174,system,839.609046459191,1074.2748443061073,1,1,160,0,0,1,0,1,0
175,system,1084.0662837028412,1382.415744137484,1,2,160,1,0,0,0,1,0
176,system,528.2493834494855,699.3951769587699,8,4,40,1,0,0,0,1,1
177,system,1176.7780618667502,1502.2949968347841,1,2,10,0,0,0,1,1,0
178,system,493.23958015435164,648.9295460971758,8,2,10,0,0,1,0,1,1
179,system,979.4405512808485,1319.1314457006624,8,16,160,1,0,0,0,1,1
180,system,553.5069842337807,730.6708248150508,8,4,0,0,0,0,0,1,1
181,system,650.6684670447714,940.3310822476717,2,1,0,0,1,0,0,0,0
182,system,823.1801056861808,1051.0190777851535,1,1,160,0,1,1,0,0,0
183,system,609.0593838691021,822.9648102699974,4,2,160,1,1,0,0,0,0
184,system,1637.090847015367,2085.165144231878,1,8,160,1,1,0,0,0,0
185,system,2849.7010407447574,3632.263099388915,1,16,0,0,1,1,1,0,0
186,system,1307.5214247702604,1895.2146957270638,2,8,40,0,1,0,0,1,0
187,system,782.6806540488278,1071.5139075218283,4,4,0,0,1,1,0,1,0
188,system,2215.3003926275633,3230.141168705345,2,16,10,0,1,1,1,1,0
189,system,1687.622557639896,2371.8584945213347,4,16,160,0,1,0,1,1,0
190,system,1525.395253181286,2132.7027641777336,4,16,0,0,0,0,1,0,0
191,system,1914.6424765586692,2444.109456424798,1,8,160,1,0,0,1,1,0
192,system,998.6567120550725,1344.8868324761038,8,16,10,1,0,1,1,1,1
193,system,665.5596256255207,883.236148455309,8,8,0,1,0,1,1,0,1
194,system,1965.554786682112,2515.1931910212816,1,8,10,0,1,1,1,1,0
195,system,1141.468131542115,1660.4736072843168,2,8,10,0,1,0,1,1,1
196,system,893.8663797377332,1207.7322285378148,8,16,40,1,1,0,1,0,1
197,system,653.6652879714344,940.6685693803688,2,1,10,1,1,1,1,0,1
198,system,452.9701938628509,591.8445412849986,8,1,0,1,1,1,1,0,1
199,system,756.0467300414139,1035.4863541966656,4,4,0,1,1,0,1,1,0
200,system,1090.3872895240693,1389.309397961473,1,4,10,0,1,1,0,1,1
201,system,1172.526008605947,1483.9096984689784,1,2,0,0,1,0,1,1,0
202,system,1118.2235708236599,1401.0340974043647,1,4,40,1,0,0,0,0,0
203,system,585.3115439414444,832.4196930035579,2,1,10,0,1,0,0,0,0
204,system,513.1750564574515,684.3490608725259,4,1,0,0,0,0,0,0,1
205,system,515.4053077697104,680.3880311327481,8,2,160,1,1,1,0,1,1
206,system,626.4421181677903,825.6976383734032,8,4,0,1,1,0,0,1,0
207,system,871.5557489394015,1170.5276099681219,8,16,160,0,1,1,0,0,1
208,system,2833.553865432715,3632.9462452231573,1,16,40,1,0,1,0,1,0
209,system,590.8983273505614,847.6552466257095,2,1,10,1,1,0,0,1,0
210,system,753.283122062586,1006.0154279293461,4,8,0,1,0,0,1,0,1
211,system,693.2858343123776,986.4355473447498,2,2,40,0,0,0,0,0,1
212,system,1190.2179956435216,1727.2504018391737,2,8,10,0,1,1,0,0,0
213,system,633.760446548387,863.0178316694116,4,2,40,1,1,1,0,1,0
214,system,479.9735288619395,640.4275273236391,4,1,40,1,0,1,0,0,0
215,system,2516.3591690063263,3210.720984818366,1,16,0,0,1,1,1,1,1
216,system,820.7222723960164,1173.3277654147573,2,4,0,1,1,0,0,1,1
217,system,757.6747279166203,1013.9656945767161,4,8,40,0,0,0,1,0,1
218,system,1296.6964974401621,1735.922776103075,8,16,0,1,0,0,1,1,0
219,system,1846.444473743423,2328.042678870967,1,8,40,0,0,0,0,1,0
220,system,491.53956460946495,646.5023611133148,8,2,40,1,1,0,0,1,1
221,system,783.1904721259378,1132.5819341331792,2,4,0,0,1,0,0,0,1
222,system,813.0026631355216,1038.4003705102734,1,1,10,1,0,0,0,1,0
223,system,855.9253711699264,1133.8945293352208,8,8,0,0,0,0,0,0,0
224,system,1171.6128034591575,1467.1464319400734,1,2,40,0,1,0,1,1,0
225,system,514.2195563315681,682.1287078233722,4,1,0,1,0,0,1,1,1
226,system,1263.8491234777648,1688.2510431855592,8,16,40,0,0,1,1,0,0
227,system,1538.1325907705443,2136.3393882512664,4,16,10,0,0,1,1,0,0
228,system,654.8603854178546,880.6206641468366,4,2,40,1,1,1,1,0,0
229,system,500.5920948981585,664.5163405712242,4,1,160,1,1,1,1,0,0
230,system,690.82339811319,983.2209071690902,2,2,40,1,0,0,0,0,1
231,system,616.1310944556633,872.5577746589288,2,1,40,0,1,1,0,1,1
232,system,755.4710259436566,1011.1815673594631,4,8,40,1,0,0,1,0,1
233,system,512.348725795674,676.0750878668782,8,2,0,1,1,0,0,1,1
234,system,865.8984699248558,1256.607925972024,2,2,10,1,1,0,1,1,0
235,system,780.4958510397946,1074.1826436396996,4,4,40,0,1,0,1,1,0
236,system,897.8486104010339,1214.2838317733335,8,16,40,1,1,1,1,0,1
237,system,693.3314361571483,942.2505317691197,4,4,160,0,1,1,0,0,0
238,system,1672.3851227759085,2463.80196511419,2,16,0,0,1,1,1,1,1
239,system,642.5478439330254,868.6198236270881,4,4,10,0,1,0,1,1,1
240,system,1007.2280263900672,1285.9067780131886,1,2,10,1,1,0,0,0,0
241,system,1753.5077204703007,2572.9057391285087,2,16,160,1,0,0,0,0,0
242,system,661.6148691176757,955.0826870296678,2,1,10,1,0,0,1,1,0
243,system,1216.7965211868184,1554.597500050172,1,4,160,1,0,1,0,1,0
244,system,825.7868242263114,1191.6319526154489,2,4,40,1,0,0,0,0,0
245,system,718.8690533637346,1036.935687651275,2,4,10,1,0,1,0,0,1
246,system,1339.943168163195,1933.6577134705392,2,8,40,0,1,1,1,0,0
247,system,865.2019052504772,1251.1662371458287,2,2,0,1,1,0,1,1,0
248,system,1176.016348838713,1707.988315617513,2,8,40,1,1,1,0,0,0
249,system,1644.4106707572796,2088.5403070624493,1,8,160,1,1,1,0,0,0
250,system,1713.091488361178,2402.2752335985315,4,16,0,0,0,0,1,1,0
251,system,597.503645419992,785.67902585303,8,4,10,0,1,1,0,1,0
252,system,773.5834698676375,1119.4616463508466,2,2,10,1,0,0,1,1,1
253,system,1128.9948687552512,1646.2176243514916,2,8,10,1,0,0,1,1,1
